xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.00078125;6.10193e-07;6.10193e-07;0.00156189;0.00156189;5.44937e-17;-6.83047e-17;0.00078125;9.32043e-17;5.81266e-17;7.28584e-17;7;0;0.00078125
0.0015625;2.44014e-06;2.44014e-06;0.00312257;0.00312257;5.41762e-17;-6.85216e-17;0.00078125;9.31748e-17;5.7788e-17;7.30897e-17;7;0;0.0015625
0.00234375;5.4889e-06;5.4889e-06;0.00468206;0.00468206;5.38637e-17;-6.85216e-17;0.00078125;9.29684e-17;5.74546e-17;7.30897e-17;7;0;0.00234376
0.003125;9.75555e-06;9.75555e-06;0.00624036;0.00624036;5.35545e-17;-6.85216e-17;0.00078125;9.2765e-17;5.71248e-17;7.30897e-17;7;0;0.00312502
0.00390625;1.52392e-05;1.52392e-05;0.00779748;0.00779748;5.32462e-17;-7.02563e-17;0.00078125;9.40308e-17;5.67959e-17;7.49401e-17;7;0;0.00390629
0.0046875;2.19388e-05;2.19388e-05;0.00935344;0.00935344;5.29463e-17;-7.11237e-17;0.00078125;9.45785e-17;5.64761e-17;7.58652e-17;7;0;0.00468757
0.00546875;2.98536e-05;2.98536e-05;0.0109082;0.0109082;5.26448e-17;-6.93889e-17;0.00078125;9.2906e-17;5.61544e-17;7.40149e-17;7;0;0.00546886
0.00625;3.89826e-05;3.89826e-05;0.0124619;0.0124619;5.23466e-17;-7.28584e-17;0.00078125;9.56944e-17;5.58364e-17;7.77156e-17;7;0;0.00625016
0.00703125;4.9325e-05;4.9325e-05;0.0140144;0.0140144;5.20553e-17;-7.11237e-17;0.00078125;9.4014e-17;5.55256e-17;7.58652e-17;7;0;0.00703148
0.0078125;6.08799e-05;6.08799e-05;0.0155659;0.0155659;5.17571e-17;-7.11237e-17;0.00078125;9.38265e-17;5.52076e-17;7.58652e-17;7;0;0.00781282
0.00859375;7.36464e-05;7.36464e-05;0.0171162;0.0171162;5.14725e-17;-7.28584e-17;0.00078125;9.51534e-17;5.4904e-17;7.77156e-17;7;0;0.00859417
0.009375;8.76236e-05;8.76236e-05;0.0186654;0.0186654;5.11879e-17;-6.93889e-17;0.00078125;9.1975e-17;5.46004e-17;7.40149e-17;7;0;0.00937554
0.0101563;0.000102811;0.000102811;0.0202135;0.0202135;5.09168e-17;-7.28584e-17;0.00078125;9.48126e-17;5.43113e-17;7.77156e-17;7;0;0.0101569
0.0109375;0.000119207;0.000119207;0.0217605;0.0217605;5.06187e-17;-7.28584e-17;0.00078125;9.46308e-17;5.39933e-17;7.77156e-17;7;0;0.0109384
0.0117188;0.000136811;0.000136811;0.0233065;0.0233065;5.03341e-17;-7.28584e-17;0.00078125;9.44579e-17;5.36897e-17;7.77156e-17;7;0;0.0117198
