xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.000390625;3.05136e-07;3.05136e-07;0.0015622;0.0015622;1.36143e-17;-1.19262e-16;0.000390625;1.28039e-16;1.45219e-17;1.27213e-16;8;0;0.000390625
0.00078125;1.22039e-06;1.22039e-06;0.00312379;0.00312379;1.34951e-17;-1.19262e-16;0.000390625;1.28025e-16;1.43948e-17;1.27213e-16;8;0;0.000781251
0.00117188;2.74552e-06;2.74552e-06;0.0046848;0.0046848;1.33763e-17;-1.18829e-16;0.000390625;1.27551e-16;1.42681e-17;1.2675e-16;8;0;0.00117188
0.0015625;4.88032e-06;4.88032e-06;0.00624524;0.00624524;1.32586e-17;-1.19696e-16;0.000390625;1.28457e-16;1.41425e-17;1.27676e-16;8;0;0.00156251
0.00195312;7.62454e-06;7.62454e-06;0.00780511;0.00780511;1.31426e-17;-1.19696e-16;0.000390625;1.28443e-16;1.40187e-17;1.27676e-16;8;0;0.00195314
0.00234375;1.0978e-05;1.0978e-05;0.00936442;0.00936442;1.30257e-17;-1.19696e-16;0.000390625;1.28429e-16;1.38941e-17;1.27676e-16;8;0;0.00234378
0.00273437;1.49404e-05;1.49404e-05;0.0109232;0.0109232;1.29122e-17;-1.19696e-16;0.000390625;1.28416e-16;1.3773e-17;1.27676e-16;8;0;0.00273443
0.003125;1.95117e-05;1.95117e-05;0.0124814;0.0124814;1.2797e-17;-1.19696e-16;0.000390625;1.28403e-16;1.36501e-17;1.27676e-16;8;0;0.00312508
0.00351562;2.46915e-05;2.46915e-05;0.0140392;0.0140392;1.26852e-17;-1.19696e-16;0.000390625;1.28391e-16;1.35308e-17;1.27676e-16;8;0;0.00351574
0.00390625;3.04797e-05;3.04797e-05;0.0155964;0.0155964;1.25734e-17;-1.21431e-16;0.000390625;1.30219e-16;1.34116e-17;1.29526e-16;8;0;0.00390641
0.00429687;3.68761e-05;3.68761e-05;0.0171531;0.0171531;1.24615e-17;-1.21431e-16;0.000390625;1.30206e-16;1.32923e-17;1.29526e-16;8;0;0.00429709
0.0046875;4.38805e-05;4.38805e-05;0.0187093;0.0187093;1.23464e-17;-1.21431e-16;0.000390625;1.30194e-16;1.31694e-17;1.29526e-16;8;0;0.00468777
0.00507813;5.14927e-05;5.14927e-05;0.0202651;0.0202651;1.22379e-17;-1.21431e-16;0.000390625;1.30182e-16;1.30538e-17;1.29526e-16;8;0;0.00507847
0.00546875;5.97125e-05;5.97125e-05;0.0218204;0.0218204;1.21295e-17;-1.21431e-16;0.000390625;1.30171e-16;1.29381e-17;1.29526e-16;8;0;0.00546918
0.00585938;6.85398e-05;6.85398e-05;0.0233752;0.0233752;1.20075e-17;-1.21431e-16;0.000390625;1.30158e-16;1.2808e-17;1.29526e-16;8;0;0.00585991
