xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.000390625;3.05156e-07;3.05156e-07;0.00156235;0.00156235;6.79553e-18;-1.32056e-16;0.000390625;1.41046e-16;7.24857e-18;1.4086e-16;8;0;0.000390625
0.00078125;1.22055e-06;1.22055e-06;0.0031244;0.0031244;6.68584e-18;-1.31839e-16;0.000390625;1.40809e-16;7.13157e-18;1.40628e-16;8;0;0.000781251
0.00117188;2.74606e-06;2.74606e-06;0.00468618;0.00468618;6.57679e-18;-1.32706e-16;0.000390625;1.41727e-16;7.01524e-18;1.41553e-16;8;0;0.00117188
0.0015625;4.88159e-06;4.88159e-06;0.00624768;0.00624768;6.46794e-18;-1.31839e-16;0.000390625;1.40797e-16;6.89914e-18;1.40628e-16;8;0;0.00156251
0.00195312;7.62703e-06;7.62703e-06;0.00780892;0.00780892;6.35952e-18;-1.32706e-16;0.000390625;1.41716e-16;6.78349e-18;1.41553e-16;8;0;0.00195314
0.00234375;1.09823e-05;1.09823e-05;0.00936992;0.00936992;6.2511e-18;-1.31839e-16;0.000390625;1.40786e-16;6.66784e-18;1.40628e-16;8;0;0.00234378
0.00273437;1.49472e-05;1.49472e-05;0.0109307;0.0109307;6.14607e-18;-1.31839e-16;0.000390625;1.40781e-16;6.55581e-18;1.40628e-16;8;0;0.00273443
0.003125;1.95218e-05;1.95218e-05;0.0124912;0.0124912;6.03765e-18;-1.31839e-16;0.000390625;1.40776e-16;6.44016e-18;1.40628e-16;8;0;0.00312508
0.00351562;2.4706e-05;2.4706e-05;0.0140515;0.0140515;5.93262e-18;-1.31839e-16;0.000390625;1.40771e-16;6.32813e-18;1.40628e-16;8;0;0.00351574
0.00390625;3.04996e-05;3.04996e-05;0.0156116;0.0156116;5.8242e-18;-1.33574e-16;0.000390625;1.42614e-16;6.21248e-18;1.42479e-16;8;0;0.00390641
0.00429687;3.69025e-05;3.69025e-05;0.0171716;0.0171716;5.71239e-18;-1.31839e-16;0.000390625;1.4076e-16;6.09322e-18;1.40628e-16;8;0;0.00429709
0.0046875;4.39148e-05;4.39148e-05;0.0187313;0.0187313;5.60397e-18;-1.31839e-16;0.000390625;1.40755e-16;5.97757e-18;1.40628e-16;8;0;0.00468777
0.00507813;5.15364e-05;5.15364e-05;0.0202909;0.0202909;5.50233e-18;-1.31839e-16;0.000390625;1.40751e-16;5.86915e-18;1.40628e-16;8;0;0.00507847
0.00546875;5.97671e-05;5.97671e-05;0.0218503;0.0218503;5.40068e-18;-1.31839e-16;0.000390625;1.40746e-16;5.76073e-18;1.40628e-16;8;0;0.00546918
0.00585938;6.86069e-05;6.86069e-05;0.0234096;0.0234096;5.28549e-18;-1.31839e-16;0.000390625;1.40741e-16;5.63785e-18;1.40628e-16;8;0;0.00585991
0.00625;7.80558e-05;7.80558e-05;0.0249687;0.0249687;5.17707e-18;-1.35308e-16;0.000390625;1.44435e-16;5.5222e-18;1.44329e-16;8;0;0.00625065
0.00664063;8.81137e-05;8.81137e-05;0.0265277;0.0265277;5.0822e-18;-1.31839e-16;0.000390625;1.40733e-16;5.42101e-18;1.40628e-16;8;0;0.0066414
0.00703125;9.87806e-05;9.87806e-05;0.0280866;0.0280866;4.96022e-18;-1.2837e-16;0.000390625;1.3703e-16;5.29091e-18;1.36928e-16;8;0;0.00703217
0.00742188;0.000110056;0.000110056;0.0296454;0.0296454;4.86536e-18;-1.35308e-16;0.000390625;1.44422e-16;5.18971e-18;1.44329e-16;8;0;0.00742296
0.0078125;0.000121941;0.000121941;0.0312041;0.0312041;4.75694e-18;-1.31839e-16;0.000390625;1.4072e-16;5.07407e-18;1.40628e-16;8;0;0.00781377
0.00820313;0.000134435;0.000134435;0.0327628;0.0327628;4.66207e-18;-1.38778e-16;0.000390625;1.48113e-16;4.97287e-18;1.4803e-16;8;0;0.00820459
