xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.05;0.0024643;0.00246425;0.0979667;0.0979668;5.43662e-08;-6.33715e-08;0.05;8.90627e-08;5.79906e-08;6.75963e-08;1;0;0.0500607
0.1;0.0097569;0.00975686;0.193525;0.193525;4.02472e-08;-5.98339e-08;0.05;7.69179e-08;4.29303e-08;6.38228e-08;1;0;0.10059
0.15;0.021813;0.021813;0.288844;0.288844;2.92949e-08;-3.69558e-08;0.05;5.03024e-08;3.12479e-08;3.94195e-08;1;0;0.152023
0.2;0.0386698;0.0386698;0.385872;0.385872;1.69373e-08;-8.47084e-09;0.05;2.01999e-08;1.80664e-08;9.03557e-09;1;0;0.204788
0.25;0.0604607;0.0604607;0.486533;0.486533;-4.40348e-10;1.8086e-08;0.05;1.92974e-08;4.69704e-10;1.92917e-08;1;0;0.25933
0.3;0.0874181;0.0874181;0.592903;0.592903;-2.72354e-08;3.50143e-08;0.05;4.73168e-08;2.90511e-08;3.73486e-08;1;0;0.316134
0.35;0.119886;0.119886;0.707382;0.707382;-7.02577e-08;2.91079e-08;0.05;8.11187e-08;7.49415e-08;3.10484e-08;1;0;0.375751
0.4;0.15834;0.15834;0.832926;0.832926;-1.41239e-07;-2.69096e-08;0.05;1.53365e-07;1.50655e-07;2.87036e-08;1;0;0.438828
0.425;0.180006;0.180006;0.900999;0.900999;-7.52722e-09;-3.13075e-09;0.025;8.69583e-09;8.02904e-09;3.33947e-09;2;0;0.47191
0.45;0.203426;0.203426;0.973367;0.973367;-1.01466e-08;-6.84105e-09;0.025;1.30532e-08;1.0823e-08;7.29712e-09;2;0;0.506166
0.475;0.228716;0.228716;1.05072;1.05072;-1.36389e-08;-1.27093e-08;0.025;1.98854e-08;1.45482e-08;1.35566e-08;2;0;0.541727
0.5;0.25601;0.25601;1.13389;1.13389;-1.83437e-08;-2.18762e-08;0.025;3.04525e-08;1.95667e-08;2.33346e-08;2;0;0.57874
0.525;0.285467;0.285467;1.22387;1.22387;-2.47568e-08;-3.61454e-08;0.025;4.67316e-08;2.64072e-08;3.85551e-08;2;0;0.617376
0.55;0.31727;0.31727;1.32185;1.32185;-3.3614e-08;-5.84212e-08;0.025;7.18947e-08;3.58549e-08;6.2316e-08;2;0;0.657829
0.575;0.351638;0.351639;1.42933;1.42933;-4.60297e-08;-9.34736e-08;0.025;1.11139e-07;4.90983e-08;9.97052e-08;2;0;0.700328
0.5875;0.369864;0.369864;1.48719;1.48719;-1.9098e-09;-4.01721e-09;0.0125;4.74461e-09;2.03712e-09;4.28503e-09;3;0;0.722428
0.6;0.388831;0.388831;1.54814;1.54814;-2.25666e-09;-5.0919e-09;0.0125;5.94086e-09;2.40711e-09;5.43136e-09;3;0;0.745144
0.6125;0.408581;0.408581;1.6125;1.6125;-2.6763e-09;-6.46366e-09;0.0125;7.4622e-09;2.85472e-09;6.89457e-09;3;0;0.768517
0.625;0.429159;0.429159;1.68061;1.68061;-3.18675e-09;-8.22365e-09;0.0125;9.40748e-09;3.3992e-09;8.77189e-09;3;0;0.792594
0.6375;0.450614;0.450614;1.75287;1.75287;-3.81133e-09;-1.04947e-08;0.0125;1.19097e-08;4.06542e-09;1.11943e-08;3;0;0.817425
0.65;0.473;0.473;1.82974;1.82974;-4.58036e-09;-1.34438e-08;0.0125;1.51495e-08;4.88571e-09;1.43401e-08;3;0;0.843064
0.6625;0.496379;0.496379;1.91172;1.91172;-5.53366e-09;-1.73003e-08;0.0125;1.93746e-08;5.90257e-09;1.84536e-08;3;0;0.869575
0.675;0.520817;0.520817;1.99941;1.99941;-6.72399e-09;-2.23821e-08;0.0125;2.49283e-08;7.17226e-09;2.38742e-08;3;0;0.897024
0.6875;0.546391;0.546391;2.09352;2.09352;-8.22198e-09;-2.91353e-08;0.0125;3.22914e-08;8.77011e-09;3.10777e-08;3;0;0.92549
0.7;0.573185;0.573185;2.19484;2.19484;-1.01232e-08;-3.81932e-08;0.0125;4.21462e-08;1.0798e-08;4.07394e-08;3;0;0.955056
0.7125;0.601296;0.601296;2.30432;2.30432;-1.25584e-08;-5.04666e-08;0.0125;5.54727e-08;1.33956e-08;5.3831e-08;3;0;0.985821
0.715625;0.608541;0.608541;2.3331;2.3331;-1.47293e-11;-5.79385e-11;0.003125;7.36996e-08;1.6756e-08;7.17696e-08;5;0;0.993712
0.717187;0.612198;0.612198;2.34771;2.34771;-4.84057e-13;-1.90559e-12;0.0015625;7.36996e-08;1.6756e-08;7.17696e-08;7;0;0.997688
0.717969;0.614035;0.614035;2.35507;2.35507;-1.55431e-14;-6.08402e-14;0.00078125;7.36996e-08;1.6756e-08;7.17696e-08;9;0;0.999685
0.718066;0.614265;0.614265;2.35599;2.35599;1.11022e-16;0;9.76563e-05;7.36996e-08;1.6756e-08;7.17696e-08;13;0;0.999935
0.718091;0.614323;0.614323;2.35622;2.35622;0;-4.44089e-16;2.44141e-05;7.36996e-08;1.6756e-08;7.17696e-08;16;0;0.999997
0.718092;0.614325;0.614325;2.35623;2.35623;0;0;7.62939e-07;7.36996e-08;1.6756e-08;7.17696e-08;22;0;0.999999
