xi;vi;vi2;v'i;v'i2;vi-vi2;v'i-v'i2;hi;E;E_v;E_v';c1;c2;currentLength_i
0.000195313;1.90734e-07;1.90734e-07;0.00195311;0.00195311;6.28154e-19;-4.16334e-16;0.000195313;4.4409e-16;6.70031e-19;4.44089e-16;9;0;0.000195313
0.000390625;7.62932e-07;7.62932e-07;0.0039062;0.0039062;4.6555e-19;-4.159e-16;0.000195313;4.43627e-16;4.96587e-19;4.43627e-16;9;0;0.000390626
0.000585938;1.71659e-06;1.71659e-06;0.0058593;0.0058593;3.02814e-19;-4.16334e-16;0.000195313;4.44089e-16;3.23002e-19;4.44089e-16;9;0;0.000585941
0.00078125;3.05172e-06;3.05172e-06;0.00781243;0.00781243;1.40184e-19;-4.15466e-16;0.000195313;4.43164e-16;1.4953e-19;4.43164e-16;9;0;0.000781258
0.000976562;4.76833e-06;4.76833e-06;0.00976561;0.00976561;-2.28699e-20;-4.16334e-16;0.000195313;4.44089e-16;2.43945e-20;4.44089e-16;9;0;0.000976578
0.00117187;6.86642e-06;6.86642e-06;0.0117189;0.0117189;-1.855e-19;-4.14599e-16;0.000195313;4.42239e-16;1.97867e-19;4.42239e-16;9;0;0.0011719
0.00136719;9.34602e-06;9.34602e-06;0.0136722;0.0136722;-3.47284e-19;-4.16334e-16;0.000195313;4.44089e-16;3.70436e-19;4.44089e-16;9;0;0.00136723
0.0015625;1.22071e-05;1.22071e-05;0.0156257;0.0156257;-5.11608e-19;-4.16334e-16;0.000195313;4.4409e-16;5.45715e-19;4.44089e-16;9;0;0.00156256
0.00175781;1.54498e-05;1.54498e-05;0.0175793;0.0175793;-6.74238e-19;-4.16334e-16;0.000195313;4.4409e-16;7.19187e-19;4.44089e-16;9;0;0.0017579
0.00195312;1.90741e-05;1.90741e-05;0.0195331;0.0195331;-8.40257e-19;-4.12864e-16;0.000195313;4.40389e-16;8.96274e-19;4.40388e-16;9;0;0.00195325
0.00214844;2.30799e-05;2.30799e-05;0.021487;0.021487;-1.00289e-18;-4.16334e-16;0.000195313;4.4409e-16;1.06975e-18;4.44089e-16;9;0;0.0021486
0.00234375;2.74674e-05;2.74674e-05;0.0234412;0.0234412;-1.16891e-18;-4.16334e-16;0.000195313;4.44091e-16;1.24683e-18;4.44089e-16;9;0;0.00234396
0.00253906;3.22367e-05;3.22367e-05;0.0253956;0.0253956;-1.33492e-18;-4.12864e-16;0.000195313;4.40391e-16;1.42392e-18;4.40388e-16;9;0;0.00253933
0.00273438;3.73876e-05;3.73876e-05;0.0273502;0.0273502;-1.49078e-18;-4.12864e-16;0.000195313;4.40391e-16;1.59016e-18;4.40388e-16;9;0;0.00273472
0.00292969;4.29204e-05;4.29204e-05;0.0293052;0.0293052;-1.66696e-18;-4.09395e-16;0.000195313;4.36691e-16;1.77809e-18;4.36688e-16;9;0;0.00293011
0.003125;4.8835e-05;4.8835e-05;0.0312604;0.0312604;-1.82959e-18;-4.09395e-16;0.000195313;4.36692e-16;1.95156e-18;4.36688e-16;9;0;0.00312551
0.00332031;5.51315e-05;5.51315e-05;0.0332159;0.0332159;-1.999e-18;-4.09395e-16;0.000195313;4.36693e-16;2.13226e-18;4.36688e-16;9;0;0.00332092
0.00351563;6.181e-05;6.181e-05;0.0351718;0.0351718;-2.1684e-18;-4.09395e-16;0.000195313;4.36694e-16;2.31296e-18;4.36688e-16;9;0;0.00351635
0.00371094;6.88705e-05;6.88705e-05;0.0371281;0.0371281;-2.33103e-18;-4.09395e-16;0.000195313;4.36695e-16;2.48644e-18;4.36688e-16;9;0;0.00371179
0.00390625;7.63131e-05;7.63131e-05;0.0390847;0.0390847;-2.52077e-18;-4.02456e-16;0.000195313;4.29295e-16;2.68882e-18;4.29286e-16;9;0;0.00390724
0.00410156;8.4138e-05;8.4138e-05;0.0410417;0.0410417;-2.6834e-18;-4.09395e-16;0.000195313;4.36697e-16;2.86229e-18;4.36688e-16;9;0;0.00410271
0.00429688;9.23451e-05;9.23451e-05;0.0429992;0.0429992;-2.85958e-18;-4.02456e-16;0.000195313;4.29297e-16;3.05022e-18;4.29286e-16;9;0;0.0042982
0.00449219;0.000100935;0.000100935;0.0449571;0.0449571;-3.00866e-18;-4.02456e-16;0.000195313;4.29298e-16;3.20924e-18;4.29286e-16;9;0;0.0044937
0.0046875;0.000109906;0.000109906;0.0469156;0.0469156;-3.1984e-18;-3.95517e-16;0.000195313;4.21899e-16;3.41162e-18;4.21885e-16;9;0;0.00468922
0.00488281;0.000119261;0.000119261;0.0488745;0.0488745;-3.36103e-18;-4.02456e-16;0.000195313;4.29301e-16;3.5851e-18;4.29286e-16;9;0;0.00488475
0.00507813;0.000128998;0.000128998;0.0508339;0.0508339;-3.57787e-18;-4.02456e-16;0.000195313;4.29303e-16;3.81639e-18;4.29286e-16;9;0;0.00508031
0.00527344;0.000139118;0.000139118;0.0527939;0.0527939;-3.71339e-18;-3.95517e-16;0.000195313;4.21903e-16;3.96095e-18;4.21885e-16;9;0;0.00527588
0.00546875;0.000149621;0.000149621;0.0547544;0.0547544;-3.90313e-18;-3.95517e-16;0.000195313;4.21905e-16;4.16334e-18;4.21885e-16;9;0;0.00547148
0.00566406;0.000160507;0.000160507;0.0567156;0.0567156;-4.06576e-18;-3.95517e-16;0.000195313;4.21907e-16;4.33681e-18;4.21885e-16;9;0;0.00566709
0.00585938;0.000171775;0.000171775;0.0586773;0.0586773;-4.25549e-18;-3.95517e-16;0.000195313;4.21909e-16;4.53919e-18;4.21885e-16;9;0;0.00586273
0.00605469;0.000183427;0.000183427;0.0606397;0.0606397;-4.41812e-18;-3.95517e-16;0.000195313;4.21911e-16;4.71267e-18;4.21885e-16;9;0;0.00605839
0.00625;0.000195463;0.000195463;0.0626028;0.0626028;-4.60786e-18;-4.02456e-16;0.000195313;4.29314e-16;4.91505e-18;4.29286e-16;9;0;0.00625407
0.00644531;0.000207882;0.000207882;0.0645665;0.0645665;-4.79759e-18;-3.88578e-16;0.000195313;4.14515e-16;5.11743e-18;4.14483e-16;9;0;0.00644978
0.00664063;0.000220684;0.000220684;0.066531;0.066531;-4.98733e-18;-3.88578e-16;0.000195313;4.14517e-16;5.31982e-18;4.14483e-16;9;0;0.00664551
0.00683594;0.00023387;0.00023387;0.0684961;0.0684961;-5.17707e-18;-3.88578e-16;0.000195313;4.1452e-16;5.5222e-18;4.14483e-16;9;0;0.00684127
0.00703125;0.00024744;0.00024744;0.0704621;0.0704621;-5.31259e-18;-3.88578e-16;0.000195313;4.14522e-16;5.66676e-18;4.14483e-16;9;0;0.00703705
0.00722656;0.000261395;0.000261395;0.0724287;0.0724287;-5.52943e-18;-3.88578e-16;0.000195313;4.14525e-16;5.89806e-18;4.14483e-16;9;0;0.00723286
0.00742188;0.000275733;0.000275733;0.0743962;0.0743962;-5.74627e-18;-3.88578e-16;0.000195313;4.14529e-16;6.12936e-18;4.14483e-16;9;0;0.0074287
0.00761719;0.000290456;0.000290456;0.0763646;0.0763646;-5.9089e-18;-3.88578e-16;0.000195313;4.14531e-16;6.30283e-18;4.14483e-16;9;0;0.00762457
0.0078125;0.000305563;0.000305563;0.0783337;0.0783337;-6.12574e-18;-3.747e-16;0.000195313;3.99734e-16;6.53413e-18;3.9968e-16;9;0;0.00782046
0.00800781;0.000321055;0.000321055;0.0803037;0.0803037;-6.28837e-18;-3.747e-16;0.000195313;3.99737e-16;6.7076e-18;3.9968e-16;9;0;0.00801639
0.00820313;0.000336932;0.000336932;0.0822747;0.0822747;-6.55942e-18;-3.747e-16;0.000195313;3.99742e-16;6.99672e-18;3.9968e-16;9;0;0.00821235
0.00839844;0.000353193;0.000353193;0.0842465;0.0842465;-6.77626e-18;-3.88578e-16;0.000195313;4.14546e-16;7.22801e-18;4.14483e-16;9;0;0.00840833
0.00859375;0.000369841;0.000369841;0.0862193;0.0862193;-6.93889e-18;-3.747e-16;0.000195313;3.99749e-16;7.40149e-18;3.9968e-16;9;0;0.00860435
0.00878906;0.000386873;0.000386873;0.088193;0.088193;-7.10152e-18;-3.60822e-16;0.000195313;3.84952e-16;7.57496e-18;3.84877e-16;9;0;0.00880041
0.00898437;0.000404291;0.000404291;0.0901677;0.0901677;-7.37257e-18;-3.747e-16;0.000195313;3.99758e-16;7.86408e-18;3.9968e-16;9;0;0.0089965
0.00917969;0.000422095;0.000422095;0.0921434;0.0921434;-7.53521e-18;-3.60822e-16;0.000195313;3.84961e-16;8.03755e-18;3.84877e-16;9;0;0.00919262
